1,2,3,4
68,42.5,85.9,12132.8
67.8,42.9,89,12470.8
67.9,43.5,86.9,11910
68,44.2,81.3,11002.8
67.9,44.8,76.1,10265.8
68,45,68.8,9551
67.9,45.2,61.9,8948.8
67.9,45.4,54.6,8313.3
67.9,45.4,47.2,7759.5
67.9,45.2,39.6,7222
67.9,45.2,37.5,7256
67.8,46.6,40.2,7193.5
68,47.4,46.2,7603.5
67.7,48,52.9,7908.3
67.9,48.2,59.3,8323
67.9,48.8,66.3,8900.5
67.9,49,72.2,9345
67.7,49.2,78.8,9794
68,49.4,84.7,10357.5
68,49.8,89,10724.8
67.9,50.5,86.5,10144
68,51.1,81.7,9604
67.7,51.7,75.5,8954.5
67.9,52.1,68.8,8318
67.9,52.1,60.9,7666.8
67.9,52.3,53.8,7077.7
67.9,52.1,46.2,6608
67.9,51.9,38.6,6298.3
68,51.9,36.7,6117
67.9,53.2,39.8,6139.3
67.9,54,45.8,6510
67.9,54.4,52.5,6835
67.7,55,59.1,7159
68,55.2,65.6,7571.3
67.9,55.6,72.4,8068.3
67.9,55.8,79.4,8596.5
67.9,56,85.3,8970.8
67.9,56.3,89,9341.8
67.7,56.7,86.3,9056.8
67.9,57.7,81,8294.8
68,58.1,75.7,7775.5
67.9,58.5,68.1,7138
67.9,58.5,60.7,6540.3
67.9,58.5,54.6,6145.3
67.9,58.5,47,5744
67.9,58.3,38.4,5289.3
68,58.3,36.7,5446.8
68,59.5,39.8,5370.3
67.9,60.3,46,5602.3
68,60.9,52.5,5857
67.7,61.1,59.3,6300.5
68,61.5,65.7,6662.8
67.9,61.7,72.4,7030.5
67.9,61.9,78.8,7466
67.9,62.1,84.9,7868.3
67.8,62.3,85.5,8043.8
73.3,62.6,89,8441.8
72.9,62.6,85.5,8030.3
72.9,62.6,80.8,7683.5
72.9,62.8,74.4,7117
72.9,62.6,68.5,6747.8
72.6,62.5,60.9,6189
72.9,62.1,53.2,5614
72.8,61.9,45.8,5378
72.8,61.7,38.4,5107
72.9,61.5,36.9,5042
72.9,60.3,39.6,5384.8
72.9,59.3,45.8,5983
72.9,58.9,51.5,6274.5
72.9,58.9,58.5,6886.8
72.9,58.9,65.4,7203.5
72.8,59.1,72,7689
72.9,59.3,78.8,8236.5
72.8,59.5,85.1,8620.3
72.9,59.5,87.1,8864.8
72.6,58.9,84.7,8455.5
72.9,58.5,80.8,8311
72.9,57.7,74,7950.3
72.8,57.3,67.9,7470.8
72.9,57.1,61.1,6961
72.7,56.7,53.4,6584
72.9,56.3,45.6,6172.8
73,56,38.2,5827.8
72.9,55.8,36.7,5883.3
